area,crime_rate,light_level,crowd_density,sos_count,time_risk,user_rating,feedback_text,sentiment_score,psi_score,lat,lng
Yerwada,0.56,0.54,0.68,0,0.93,3,Risky area,-0.39,68.05,18.5538,73.8826
Yerwada,0.19,0.25,0.83,6,0.39,1,Very safe route,-0.41,60.5,18.5538,73.8826
Magarpatta,0.2,0.72,0.48,4,0.89,4,Not recommended after 9pm,-0.13,67.85,18.5136,73.9213
Pashan,0.39,0.25,0.81,5,0.1,4,Highly secure area,0.32,74.05,18.5397,73.7932
Sus,0.47,0.37,0.66,1,0.82,2,Comfortable route,-0.84,59.35,18.5584,73.7423
Viman Nagar,0.73,0.69,0.42,6,0.8,1,Very safe route,-0.6,30.35,18.5679,73.9143
Wakad,0.81,0.56,0.59,4,0.91,3,Comfortable route,0.77,55.25,18.5987,73.7656
Balewadi,0.93,0.93,0.63,5,0.3,4,Crime prone area,0.06,52.95,18.576,73.7739
Camp,0.82,0.79,0.78,2,0.31,1,Mostly safe locality,0.3,75.15,18.5204,73.8787
Kothrud,0.6,0.18,0.92,3,0.65,5,Not recommended after 9pm,0.31,64.55,18.5074,73.8077
Shivajinagar,0.78,0.19,0.42,6,0.49,2,Crime prone area,0.4,42.05,18.5314,73.8446
Hadapsar,0.48,0.9,0.61,3,0.97,1,Good lighting and safe,0.86,78.9,18.5089,73.9259
Yerwada,0.25,0.29,0.7,2,0.23,2,Comfortable route,-0.53,78.8,18.5538,73.8826
Hinjewadi,0.73,0.79,0.61,0,0.61,2,Crime prone area,-0.18,73.85,18.5913,73.7389
Swargate,0.71,0.34,0.94,3,0.94,2,Not recommended after 9pm,0.7,62.8,18.5018,73.8585
Nigdi,0.4,0.21,0.18,2,0.48,2,Comfortable route,0.34,74.45,18.6429,73.7585
Bibwewadi,0.85,0.56,0.35,1,0.49,5,Comfortable route,0.56,71.5,18.4735,73.8647
Baner,0.78,0.74,0.29,6,0.75,3,Mostly safe locality,-0.82,25.5,18.559,73.7787
NIBM,0.95,0.75,0.45,1,0.36,5,Feels unsafe at night,-0.89,52.2,18.48,73.89
Sus,0.46,0.59,0.3,5,0.77,1,Feels unsafe at night,0.26,56.95,18.5584,73.7423
Kondhwa,0.68,0.51,0.78,2,0.79,2,Crime prone area,-0.14,60.35,18.4731,73.8944
Katraj,0.17,0.19,0.27,6,0.88,1,Highly secure area,0.06,52.05,18.4529,73.8554
Hadapsar,0.19,0.47,0.59,3,0.78,3,Highly secure area,-0.88,61.55,18.5089,73.9259
Pimpri,0.41,0.84,0.36,6,0.53,3,Not recommended after 9pm,-0.49,51.85,18.6262,73.8118
Kothrud,0.15,0.85,0.59,6,0.49,5,Comfortable route,0.27,76.9,18.5074,73.8077
Viman Nagar,0.27,0.53,0.72,0,0.36,4,Feels unsafe at night,-0.49,89.8,18.5679,73.9143
Nigdi,0.64,0.33,0.53,2,0.55,1,Very safe route,-0.68,53.45,18.6429,73.7585
Kothrud,0.32,0.7,0.63,2,0.34,3,Comfortable route,0.31,91.85,18.5074,73.8077
Nigdi,0.53,0.41,0.23,1,0.96,4,Feels unsafe at night,-0.05,62.3,18.6429,73.7585
Deccan,0.13,0.15,0.65,1,0.69,4,Not recommended after 9pm,-0.02,84.45,18.5173,73.8413
Nigdi,0.21,0.86,0.63,2,0.73,2,Crowded but manageable,-0.05,85.45,18.6429,73.7585
Chinchwad,0.67,0.65,0.43,1,0.27,4,Not recommended after 9pm,0.11,78.5,18.6229,73.7842
Viman Nagar,0.16,0.61,0.17,1,0.51,1,Very safe route,0.2,92.25,18.5679,73.9143
Kharadi,0.43,0.95,0.14,1,0.23,5,Highly secure area,-0.63,79.4,18.5515,73.9348
Wakad,0.17,0.86,0.34,4,0.88,1,Mostly safe locality,-0.28,67.7,18.5987,73.7656
Baner,0.55,0.38,0.26,0,0.41,2,Risky area,-0.44,71.5,18.559,73.7787
NIBM,0.83,0.19,0.23,2,0.53,4,Crowded but manageable,0.22,54.65,18.48,73.89
Sinhagad Road,0.9,0.77,0.16,3,0.94,4,Highly secure area,0.36,48.75,18.46,73.81
Yerwada,0.72,0.61,0.61,2,0.89,3,Not recommended after 9pm,-0.39,52.8,18.5538,73.8826
Baner,0.11,0.8,0.32,1,0.42,1,Mostly safe locality,-0.17,94.85,18.559,73.7787
Kondhwa,0.88,0.78,0.78,0,0.57,4,Good lighting and safe,-0.29,68.55,18.4731,73.8944
Sus,0.67,0.12,0.55,0,0.79,4,Crowded but manageable,-0.55,56.45,18.5584,73.7423
Yerwada,0.64,0.78,0.2,0,0.44,3,Not recommended after 9pm,0.29,83.65,18.5538,73.8826
Nigdi,0.4,0.52,0.35,4,0.42,3,Risky area,0.25,70.65,18.6429,73.7585
Katraj,0.45,0.78,0.71,1,0.77,1,Highly secure area,0.35,85.65,18.4529,73.8554
Sus,0.44,0.15,0.83,4,0.99,1,Crowded but manageable,-0.56,44.75,18.5584,73.7423
Warje,0.27,0.2,0.73,6,0.52,2,Good lighting and safe,0.74,70.2,18.4852,73.8062
Nigdi,0.16,0.88,0.11,5,0.76,2,Feels unsafe at night,0.3,72.2,18.6429,73.7585
Aundh,0.58,0.23,0.31,6,0.91,2,Comfortable route,0.56,43.55,18.558,73.8075
Akurdi,0.9,0.87,0.34,6,0.82,1,Very safe route,-0.07,33.0,18.6498,73.7711
Pashan,0.13,0.22,0.22,3,0.64,3,Crowded but manageable,0.86,85.4,18.5397,73.7932
Wakad,0.53,0.63,0.94,3,0.57,5,Mostly safe locality,-0.16,68.85,18.5987,73.7656
Sus,0.94,0.72,0.4,6,0.76,1,Crime prone area,0.59,40.85,18.5584,73.7423
Deccan,0.27,0.76,0.68,1,0.2,1,Crowded but manageable,-0.44,91.8,18.5173,73.8413
Karve Nagar,0.21,0.82,0.64,2,0.87,5,Feels unsafe at night,-0.71,72.25,18.4912,73.8214
Chinchwad,0.9,0.95,0.7,6,0.36,4,Feels unsafe at night,0.53,56.0,18.6229,73.7842
Akurdi,0.35,0.61,0.74,3,0.31,2,Very safe route,-0.68,71.15,18.6498,73.7711
Karve Nagar,0.52,0.1,0.67,3,0.28,1,Feels unsafe at night,-0.87,53.75,18.4912,73.8214
Kondhwa,0.59,0.22,0.39,5,0.18,2,Mostly safe locality,-0.52,47.2,18.4731,73.8944
Camp,0.57,0.47,0.67,3,0.77,4,Comfortable route,-0.64,50.95,18.5204,73.8787
Kondhwa,0.87,0.46,0.92,3,0.35,2,Risky area,-0.88,46.1,18.4731,73.8944
Sinhagad Road,0.54,0.77,0.87,5,0.75,1,Risky area,-0.04,58.05,18.46,73.81
Warje,0.67,0.77,0.87,5,0.87,1,Crime prone area,0.22,54.35,18.4852,73.8062
Bhosari,0.21,0.92,0.64,4,0.38,3,Risky area,0.57,92.75,18.6298,73.8446
Balewadi,0.27,0.2,0.75,0,0.24,5,Mostly safe locality,0.79,100.0,18.576,73.7739
Sinhagad Road,0.52,0.75,0.88,0,0.39,2,Good lighting and safe,0.52,99.25,18.46,73.81
Aundh,0.18,0.47,0.51,0,0.66,2,Very safe route,0.23,95.2,18.558,73.8075
Bibwewadi,0.38,0.13,0.61,6,0.78,3,Good lighting and safe,-0.21,44.1,18.4735,73.8647
Sinhagad Road,0.84,0.15,0.81,6,0.82,2,Mostly safe locality,-0.51,22.7,18.46,73.81
Kharadi,0.88,0.51,0.14,6,1.0,3,Comfortable route,0.01,24.0,18.5515,73.9348
Karve Nagar,0.27,0.55,0.82,1,0.18,4,Not recommended after 9pm,-0.79,85.2,18.4912,73.8214
Karve Nagar,0.6,0.79,0.44,0,0.54,3,Good lighting and safe,0.74,92.55,18.4912,73.8214
Warje,0.37,0.47,0.62,5,0.97,1,Mostly safe locality,-0.11,52.4,18.4852,73.8062
Hadapsar,0.94,0.46,0.48,0,0.76,5,Crime prone area,-0.21,55.75,18.5089,73.9259
Bhosari,0.38,0.66,0.53,5,0.33,3,Highly secure area,0.7,78.9,18.6298,73.8446
Wakad,0.75,0.31,0.62,2,0.36,2,Good lighting and safe,0.17,66.2,18.5987,73.7656
Baner,0.28,0.36,0.13,4,0.7,3,Comfortable route,0.86,74.4,18.559,73.7787
Kondhwa,0.58,0.45,0.62,2,0.48,1,Highly secure area,-0.14,68.05,18.4731,73.8944
Chinchwad,0.55,0.11,0.2,1,0.6,4,Risky area,0.48,71.85,18.6229,73.7842
Bibwewadi,0.48,0.46,0.27,6,0.26,3,Very safe route,-0.62,45.9,18.4735,73.8647
Warje,0.71,0.64,0.77,2,0.53,2,Risky area,0.6,77.3,18.4852,73.8062
Baner,0.59,0.42,0.34,5,0.71,2,Highly secure area,0.21,50.05,18.559,73.7787
Bibwewadi,0.89,0.34,0.5,3,0.75,3,Good lighting and safe,0.65,54.25,18.4735,73.8647
Magarpatta,0.45,0.11,0.35,3,0.25,2,Crime prone area,0.44,73.75,18.5136,73.9213
Swargate,0.19,0.2,0.45,2,0.41,2,Not recommended after 9pm,0.54,89.8,18.5018,73.8585
Bhosari,0.69,0.59,0.13,4,0.35,5,Risky area,-0.37,50.0,18.6298,73.8446
Magarpatta,0.44,0.65,0.33,3,0.7,2,Feels unsafe at night,-0.68,56.25,18.5136,73.9213
Shivajinagar,0.1,0.64,0.68,5,0.21,5,Crowded but manageable,0.05,83.95,18.5314,73.8446
Viman Nagar,0.38,0.28,0.3,4,0.61,2,Good lighting and safe,-0.44,53.2,18.5679,73.9143
Sinhagad Road,0.27,0.44,0.67,6,0.65,3,Crowded but manageable,-0.8,47.5,18.46,73.81
Swargate,0.19,0.32,0.87,4,0.85,1,Crowded but manageable,-0.67,58.85,18.5018,73.8585
Hadapsar,0.4,0.53,0.17,0,0.21,3,Comfortable route,0.11,91.1,18.5089,73.9259
Sus,0.37,0.3,0.9,4,0.53,4,Risky area,-0.86,55.2,18.5584,73.7423
Aundh,0.23,0.73,0.26,0,0.23,4,Feels unsafe at night,-0.02,99.45,18.558,73.8075
Karve Nagar,0.46,0.32,0.57,2,0.3,1,Crowded but manageable,-0.05,75.35,18.4912,73.8214
Kothrud,0.88,0.23,0.44,5,0.66,1,Risky area,0.28,38.65,18.5074,73.8077
Deccan,0.94,0.87,0.62,2,0.8,2,Risky area,-0.51,48.0,18.5173,73.8413
Kothrud,0.3,0.23,0.82,1,0.46,4,Mostly safe locality,-0.58,76.75,18.5074,73.8077
Kothrud,0.91,0.73,0.68,5,0.65,1,Comfortable route,0.7,53.85,18.5074,73.8077
Aundh,0.64,0.9,0.42,2,0.84,1,Crowded but manageable,0.87,78.35,18.558,73.8075
Kondhwa,0.16,0.55,0.88,0,0.68,5,Crime prone area,-0.28,92.85,18.4731,73.8944
Sinhagad Road,0.39,0.83,0.3,6,0.55,1,Mostly safe locality,-0.62,49.55,18.46,73.81
Wakad,0.31,0.82,0.56,6,0.13,4,Feels unsafe at night,0.41,79.05,18.5987,73.7656
Camp,0.84,0.4,0.54,0,0.47,4,Feels unsafe at night,0.5,75.9,18.5204,73.8787
Dhayari,0.38,0.38,0.67,6,0.58,4,Feels unsafe at night,-0.87,42.55,18.4411,73.8058
Sus,0.79,0.42,0.73,6,0.96,5,Risky area,0.18,35.5,18.5584,73.7423
Swargate,0.46,0.23,0.82,0,0.21,5,Highly secure area,0.21,92.2,18.5018,73.8585
Camp,0.94,0.16,0.83,4,0.23,1,Mostly safe locality,-0.86,35.6,18.5204,73.8787
Karve Nagar,0.18,0.43,0.3,6,0.33,4,Crime prone area,0.5,73.15,18.4912,73.8214
Hinjewadi,0.72,0.85,0.75,3,0.7,5,Mostly safe locality,-0.05,61.7,18.5913,73.7389
Karve Nagar,0.17,0.2,0.39,3,0.94,1,Highly secure area,-0.1,64.8,18.4912,73.8214
Hadapsar,0.23,0.31,0.33,0,0.72,3,Feels unsafe at night,-0.57,75.8,18.5089,73.9259
Sus,0.86,0.76,0.74,2,0.13,1,Risky area,0.28,76.0,18.5584,73.7423
Nigdi,0.37,0.21,0.16,0,0.24,3,Feels unsafe at night,-0.57,76.6,18.6429,73.7585
Baner,0.67,0.87,0.33,0,0.77,5,Risky area,0.11,75.8,18.559,73.7787
Pimpri,0.41,0.19,0.82,3,0.46,4,Risky area,-0.38,64.75,18.6262,73.8118
Katraj,0.75,0.65,0.32,2,0.41,1,Crowded but manageable,0.24,68.35,18.4529,73.8554
Camp,0.32,0.82,0.79,5,0.63,5,Not recommended after 9pm,-0.12,68.0,18.5204,73.8787
Chinchwad,0.92,0.78,0.43,3,0.37,1,Good lighting and safe,0.08,58.0,18.6229,73.7842
Sinhagad Road,0.17,0.48,0.46,1,0.52,5,Comfortable route,-0.66,79.7,18.46,73.81
Sinhagad Road,0.56,0.76,0.45,4,0.3,5,Very safe route,0.01,67.65,18.46,73.81
Camp,0.82,0.28,0.22,0,0.48,4,Crime prone area,0.61,73.15,18.5204,73.8787
Kothrud,0.35,0.82,0.57,6,0.7,4,Mostly safe locality,0.05,60.75,18.5074,73.8077
Shivajinagar,0.82,0.7,0.5,4,0.69,3,Crowded but manageable,0.51,56.55,18.5314,73.8446
Hadapsar,0.34,0.24,0.37,1,0.24,5,Feels unsafe at night,0.38,89.6,18.5089,73.9259
Nigdi,0.27,0.86,0.28,2,0.43,2,Crime prone area,0.5,93.8,18.6429,73.7585
Kondhwa,0.58,0.43,0.79,6,1.0,2,Feels unsafe at night,0.25,44.9,18.4731,73.8944
Pashan,0.61,0.11,0.4,2,0.25,1,Highly secure area,0.07,67.3,18.5397,73.7932
Bhosari,0.42,0.61,0.24,0,0.62,3,Risky area,0.65,92.1,18.6298,73.8446
Karve Nagar,0.89,0.47,0.25,4,0.26,5,Crime prone area,-0.29,44.4,18.4912,73.8214
Warje,0.95,0.75,0.7,1,0.89,5,Crime prone area,-0.4,51.45,18.4852,73.8062
Akurdi,0.66,0.29,0.3,3,0.22,4,Very safe route,-0.65,51.8,18.6498,73.7711
Warje,0.78,0.92,0.14,1,0.79,5,Mostly safe locality,-0.63,53.75,18.4852,73.8062
Pimpri,0.78,0.87,0.26,5,0.44,2,Highly secure area,-0.41,44.5,18.6262,73.8118
NIBM,0.71,0.41,0.5,5,0.16,4,Mostly safe locality,0.52,62.35,18.48,73.89
Deccan,0.67,0.79,0.62,5,0.77,2,Risky area,-0.33,45.9,18.5173,73.8413
Chinchwad,0.74,0.41,0.52,2,0.97,1,Very safe route,0.04,52.95,18.6229,73.7842
Kondhwa,0.11,0.11,0.39,2,0.17,3,Very safe route,-0.66,77.85,18.4731,73.8944
Wakad,0.72,0.2,0.4,2,0.52,3,Crime prone area,-0.65,48.05,18.5987,73.7656
NIBM,0.11,0.36,0.31,2,1.0,2,Feels unsafe at night,0.87,87.15,18.48,73.89
Viman Nagar,0.21,0.63,0.67,0,0.28,3,Mostly safe locality,0.6,100.0,18.5679,73.9143
Warje,0.62,0.36,0.63,1,0.6,3,Good lighting and safe,-0.09,68.55,18.4852,73.8062
Shivajinagar,0.59,0.38,0.42,0,0.28,4,Crowded but manageable,-0.54,72.6,18.5314,73.8446
Akurdi,0.33,0.55,0.14,0,0.55,3,Risky area,0.16,87.85,18.6498,73.7711
Hinjewadi,0.48,0.46,0.56,6,0.33,5,Crowded but manageable,0.07,57.75,18.5913,73.7389
Baner,0.35,0.79,0.75,3,0.97,5,Feels unsafe at night,0.74,82.05,18.559,73.7787
NIBM,0.27,0.16,0.66,3,0.73,5,Good lighting and safe,0.58,77.3,18.48,73.89
Katraj,0.49,0.8,0.14,3,0.92,3,Crime prone area,0.44,67.0,18.4529,73.8554
NIBM,0.85,0.63,0.34,1,0.19,3,Crowded but manageable,0.44,76.65,18.48,73.89
Warje,0.22,0.44,0.48,2,0.6,2,Feels unsafe at night,0.48,87.8,18.4852,73.8062
Wakad,0.22,0.45,0.81,5,0.6,4,Not recommended after 9pm,0.51,76.7,18.5987,73.7656
Wakad,0.94,0.22,0.19,3,0.47,3,Risky area,-0.1,41.7,18.5987,73.7656
Viman Nagar,0.59,0.4,0.92,1,0.61,4,Crowded but manageable,0.34,79.5,18.5679,73.9143
Pimpri,0.32,0.91,0.26,0,0.34,5,Crime prone area,0.76,100.0,18.6262,73.8118
Magarpatta,0.78,0.28,0.27,5,0.24,3,Comfortable route,-0.51,38.25,18.5136,73.9213
Warje,0.11,0.21,0.6,5,0.16,1,Good lighting and safe,-0.45,69.8,18.4852,73.8062
Bhosari,0.85,0.67,0.37,0,1.0,4,Mostly safe locality,-0.18,57.05,18.6298,73.8446
Sus,0.81,0.66,0.51,3,0.71,5,Very safe route,0.89,66.75,18.5584,73.7423
Karve Nagar,0.29,0.59,0.18,6,0.56,5,Not recommended after 9pm,-0.37,52.3,18.4912,73.8214
Sus,0.26,0.77,0.3,2,0.75,4,Feels unsafe at night,0.77,90.7,18.5584,73.7423
Viman Nagar,0.51,0.5,0.76,5,0.11,2,Very safe route,0.53,75.45,18.5679,73.9143
Dhayari,0.42,0.75,0.77,6,0.64,3,Highly secure area,0.15,61.6,18.4411,73.8058
Baner,0.79,0.38,0.16,5,0.91,2,Comfortable route,-0.07,31.45,18.559,73.7787
Warje,0.87,0.33,0.33,5,0.7,2,Crime prone area,-0.58,25.75,18.4852,73.8062
Chinchwad,0.73,0.23,0.9,0,0.61,3,Highly secure area,-0.2,68.05,18.6229,73.7842
Kothrud,0.9,0.76,0.12,6,0.69,5,Risky area,0.24,36.4,18.5074,73.8077
Chinchwad,0.53,0.18,0.44,3,0.58,5,Crowded but manageable,0.17,61.85,18.6229,73.7842
Dhayari,0.91,0.9,0.76,0,0.74,4,Mostly safe locality,0.56,78.3,18.4411,73.8058
Sus,0.94,0.57,0.81,1,0.61,4,Risky area,-0.34,56.75,18.5584,73.7423
Nigdi,0.26,0.27,0.87,6,0.95,2,Mostly safe locality,0.41,59.5,18.6429,73.7585
Pimpri,0.85,0.14,0.41,2,0.6,5,Crime prone area,0.69,60.55,18.6262,73.8118
Chinchwad,0.94,0.77,0.21,6,0.95,1,Very safe route,0.86,39.95,18.6229,73.7842
Yerwada,0.11,0.53,0.76,6,0.77,3,Crowded but manageable,-0.53,57.8,18.5538,73.8826
Yerwada,0.93,0.76,0.19,1,0.57,5,Risky area,0.18,62.4,18.5538,73.8826
Bhosari,0.4,0.73,0.27,3,0.92,1,Crowded but manageable,0.49,71.6,18.6298,73.8446
Akurdi,0.6,0.57,0.38,0,0.47,4,Good lighting and safe,0.84,91.55,18.6498,73.7711
Kharadi,0.58,0.89,0.31,1,0.14,4,Not recommended after 9pm,-0.88,72.25,18.5515,73.9348
Kothrud,0.34,0.91,0.75,4,0.18,5,Risky area,0.29,88.3,18.5074,73.8077
Karve Nagar,0.16,0.88,0.89,0,0.89,2,Good lighting and safe,-0.34,92.8,18.4912,73.8214
Wakad,0.47,0.16,0.31,3,0.33,3,Very safe route,-0.65,55.35,18.5987,73.7656
Balewadi,0.9,0.29,0.73,1,0.89,5,Comfortable route,-0.64,43.25,18.576,73.7739
Katraj,0.65,0.25,0.39,1,0.73,1,Good lighting and safe,-0.71,51.4,18.4529,73.8554
Baner,0.91,0.27,0.82,3,0.94,2,Crowded but manageable,0.56,50.45,18.559,73.7787
Bhosari,0.18,0.17,0.78,1,0.73,3,Not recommended after 9pm,0.04,84.15,18.6298,73.8446
Kharadi,0.46,0.47,0.41,5,0.98,3,Feels unsafe at night,-0.85,35.4,18.5515,73.9348
Shivajinagar,0.29,0.69,0.37,6,0.25,1,Feels unsafe at night,-0.14,65.35,18.5314,73.8446
Dhayari,0.86,0.34,0.28,0,0.65,3,Very safe route,-0.05,59.75,18.4411,73.8058
Nigdi,0.79,0.19,0.64,5,0.57,2,Risky area,0.3,45.75,18.6429,73.7585
Yerwada,0.12,0.63,0.38,5,0.11,2,Crowded but manageable,-0.01,81.1,18.5538,73.8826
NIBM,0.29,0.54,0.86,4,0.81,1,Not recommended after 9pm,0.62,78.2,18.48,73.89
Swargate,0.36,0.41,0.55,0,0.11,5,Not recommended after 9pm,0.4,100.0,18.5018,73.8585
Wakad,0.11,0.45,0.23,5,0.26,3,Not recommended after 9pm,0.64,84.05,18.5987,73.7656
Kondhwa,0.79,0.93,0.69,5,0.26,2,Highly secure area,0.51,66.7,18.4731,73.8944
Deccan,0.45,0.16,0.16,4,0.83,5,Feels unsafe at night,-0.42,43.1,18.5173,73.8413
Katraj,0.46,0.38,0.71,3,0.38,2,Crime prone area,0.75,83.05,18.4529,73.8554
Wakad,0.85,0.37,0.12,2,0.52,2,Feels unsafe at night,0.87,65.4,18.5987,73.7656
Kondhwa,0.14,0.56,0.22,4,0.48,4,Comfortable route,0.58,84.1,18.4731,73.8944
Kharadi,0.31,0.65,0.35,2,0.42,2,Risky area,0.19,85.3,18.5515,73.9348
Magarpatta,0.64,0.39,0.89,5,0.14,1,Mostly safe locality,-0.46,54.45,18.5136,73.9213
Karve Nagar,0.53,0.78,0.55,2,0.29,1,Not recommended after 9pm,-0.36,74.8,18.4912,73.8214
Bibwewadi,0.71,0.31,0.71,5,0.67,2,Risky area,0.4,50.95,18.4735,73.8647
Sinhagad Road,0.39,0.34,0.71,2,0.43,2,Crime prone area,-0.51,70.35,18.46,73.81
Baner,0.7,0.82,0.39,0,0.26,4,Very safe route,-0.01,82.85,18.559,73.7787
Akurdi,0.85,0.86,0.8,2,0.56,2,Very safe route,0.45,72.45,18.6498,73.7711
Nigdi,0.72,0.21,0.54,4,0.19,1,Very safe route,-0.69,45.6,18.6429,73.7585
Wakad,0.28,0.85,0.1,1,0.88,5,Comfortable route,0.73,90.9,18.5987,73.7656
Sinhagad Road,0.8,0.27,0.87,1,0.32,1,Feels unsafe at night,-0.77,57.8,18.46,73.81
Kharadi,0.81,0.87,0.56,5,0.73,5,Good lighting and safe,0.75,57.9,18.5515,73.9348
Viman Nagar,0.84,0.51,0.49,2,0.23,2,Crowded but manageable,0.18,67.05,18.5679,73.9143
Camp,0.39,0.76,0.93,4,0.47,5,Comfortable route,0.48,82.9,18.5204,73.8787
Pashan,0.66,0.48,0.34,5,0.33,4,Good lighting and safe,-0.08,51.4,18.5397,73.7932
Kondhwa,0.58,0.33,0.53,0,0.64,2,Highly secure area,0.71,84.9,18.4731,73.8944
Chinchwad,0.64,0.26,0.63,1,0.22,5,Risky area,0.29,79.55,18.6229,73.7842
Yerwada,0.29,0.74,0.95,0,0.4,3,Good lighting and safe,0.18,100.0,18.5538,73.8826
Chinchwad,0.37,0.17,0.28,0,0.88,1,Highly secure area,-0.61,63.8,18.6229,73.7842
Sus,0.54,0.78,0.29,1,0.42,5,Feels unsafe at night,-0.83,67.15,18.5584,73.7423
Hadapsar,0.69,0.69,0.91,6,0.33,4,Comfortable route,0.61,64.4,18.5089,73.9259
Camp,0.16,0.11,0.79,5,0.6,4,Good lighting and safe,-0.3,61.65,18.5204,73.8787
Swargate,0.6,0.36,0.38,0,0.8,5,Highly secure area,-0.77,57.65,18.5018,73.8585
Warje,0.29,0.38,0.13,3,0.23,1,Mostly safe locality,0.2,78.8,18.4852,73.8062
Sinhagad Road,0.44,0.21,0.6,4,0.56,2,Risky area,-0.45,53.6,18.46,73.81
Katraj,0.93,0.78,0.24,0,0.39,2,Mostly safe locality,0.63,78.55,18.4529,73.8554
Kharadi,0.21,0.52,0.29,6,0.33,1,Crime prone area,0.35,70.95,18.5515,73.9348
Dhayari,0.16,0.38,0.64,2,0.39,5,Crowded but manageable,0.35,93.15,18.4411,73.8058
Karve Nagar,0.92,0.36,0.8,1,0.24,1,Highly secure area,-0.51,59.15,18.4912,73.8214
Balewadi,0.33,0.38,0.66,6,0.27,4,Very safe route,0.41,69.85,18.576,73.7739
Kothrud,0.39,0.83,0.63,2,0.47,2,Very safe route,-0.9,70.25,18.5074,73.8077
Camp,0.1,0.43,0.8,4,0.96,5,Crime prone area,0.68,81.45,18.5204,73.8787
Shivajinagar,0.41,0.45,0.19,6,0.64,5,Good lighting and safe,0.8,61.45,18.5314,73.8446
Kothrud,0.36,0.48,0.52,0,0.72,2,Not recommended after 9pm,0.17,86.15,18.5074,73.8077
Kharadi,0.87,0.76,0.85,0,0.63,3,Risky area,-0.22,69.2,18.5515,73.9348
NIBM,0.22,0.41,0.64,0,0.27,2,Crime prone area,0.87,100.0,18.48,73.89
Viman Nagar,0.35,0.49,0.14,3,0.22,4,Not recommended after 9pm,0.77,86.9,18.5679,73.9143
Bhosari,0.14,0.56,0.33,0,0.76,3,Good lighting and safe,-0.59,82.05,18.6298,73.8446
Warje,0.88,0.22,0.69,2,0.83,4,Mostly safe locality,-0.83,35.95,18.4852,73.8062
Kharadi,0.66,0.17,0.69,6,0.58,3,Not recommended after 9pm,-0.59,32.6,18.5515,73.9348
Akurdi,0.43,0.23,0.83,5,0.49,1,Highly secure area,-0.83,47.3,18.6498,73.7711
Deccan,0.79,0.78,0.78,2,0.8,4,Comfortable route,-0.11,60.25,18.5173,73.8413
Wakad,0.6,0.29,0.37,3,0.82,2,Crowded but manageable,0.01,52.8,18.5987,73.7656
Pimpri,0.34,0.39,0.57,4,0.31,3,Risky area,0.65,81.5,18.6262,73.8118
Kondhwa,0.3,0.46,0.74,3,0.52,3,Not recommended after 9pm,0.52,84.7,18.4731,73.8944
Chinchwad,0.46,0.28,0.53,3,0.62,3,Mostly safe locality,0.52,71.5,18.6229,73.7842
Deccan,0.34,0.13,0.11,6,0.76,3,Crime prone area,0.71,54.9,18.5173,73.8413
Kondhwa,0.38,0.42,0.92,1,0.38,1,Very safe route,-0.56,79.3,18.4731,73.8944
Deccan,0.4,0.54,0.13,2,0.42,5,Risky area,-0.25,71.25,18.5173,73.8413
Kharadi,0.53,0.74,0.28,5,0.53,2,Good lighting and safe,0.55,65.35,18.5515,73.9348
Kothrud,0.75,0.8,0.92,4,0.82,5,Good lighting and safe,-0.39,48.95,18.5074,73.8077
Magarpatta,0.66,0.61,0.8,3,0.55,5,Crowded but manageable,-0.85,52.0,18.5136,73.9213
Sus,0.13,0.78,0.9,0,0.79,1,Good lighting and safe,-0.43,93.25,18.5584,73.7423
Wakad,0.19,0.49,0.36,4,0.1,3,Feels unsafe at night,-0.66,71.45,18.5987,73.7656
Nigdi,0.24,0.57,0.2,3,0.55,5,Good lighting and safe,0.42,81.25,18.6429,73.7585
Chinchwad,0.84,0.36,0.34,1,0.96,1,Feels unsafe at night,-0.53,43.05,18.6229,73.7842
Nigdi,0.69,0.43,0.22,6,0.97,5,Very safe route,0.86,44.55,18.6429,73.7585
Baner,0.56,0.6,0.15,4,0.58,5,Good lighting and safe,0.87,69.55,18.559,73.7787
Camp,0.31,0.62,0.1,4,0.31,2,Crowded but manageable,-0.47,64.65,18.5204,73.8787
Pashan,0.38,0.19,0.64,3,0.55,2,Comfortable route,0.73,79.0,18.5397,73.7932
Sinhagad Road,0.58,0.65,0.63,1,0.99,4,Good lighting and safe,-0.14,65.95,18.46,73.81
Kondhwa,0.16,0.3,0.88,1,0.99,2,Comfortable route,0.8,94.1,18.4731,73.8944
Nigdi,0.21,0.51,0.1,5,0.17,3,Very safe route,-0.31,67.2,18.6429,73.7585
Katraj,0.9,0.5,0.94,0,0.46,3,Very safe route,-0.2,68.7,18.4529,73.8554
Wakad,0.66,0.89,0.84,3,0.66,3,Comfortable route,-0.26,63.25,18.5987,73.7656
Sus,0.71,0.67,0.34,0,0.61,5,Good lighting and safe,-0.14,70.75,18.5584,73.7423
Kondhwa,0.69,0.31,0.13,0,0.8,1,Crowded but manageable,-0.3,57.85,18.4731,73.8944
Akurdi,0.4,0.13,0.5,5,0.14,2,Highly secure area,-0.31,58.5,18.6498,73.7711
Wakad,0.14,0.55,0.87,0,0.58,1,Risky area,0.6,100.0,18.5987,73.7656
Kharadi,0.78,0.48,0.28,6,0.43,4,Crowded but manageable,0.09,41.55,18.5515,73.9348
Bibwewadi,0.12,0.93,0.46,5,0.88,3,Good lighting and safe,0.08,72.35,18.4735,73.8647
